Feature,Importance
cat__Neighborhood_NPkVill,0.0
cat__HouseStyle_SFoyer,0.0
cat__RoofStyle_Gambrel,0.0
cat__BsmtCond_NoBasement,0.0
cat__ExterCond_Fa,0.0
cat__Exterior2nd_Stone,0.0
cat__Exterior2nd_VinylSd,0.0
cat__Exterior2nd_Wd Sdng,0.0
cat__Exterior2nd_Wd Shng,0.0
cat__MasVnrType_BrkCmn,0.0
cat__MasVnrType_Stone,0.0
cat__ExterQual_Ex,0.0
cat__ExterQual_Fa,0.0
cat__ExterQual_Gd,0.0
cat__ExterQual_TA,0.0
cat__ExterCond_Ex,0.0
cat__ExterCond_Gd,0.0
cat__RoofStyle_Hip,0.0
cat__ExterCond_Po,0.0
cat__ExterCond_TA,0.0
cat__Foundation_CBlock,0.0
cat__Foundation_PConc,0.0
cat__Foundation_Slab,0.0
cat__Foundation_Stone,0.0
cat__Foundation_Wood,0.0
cat__BsmtQual_Fa,0.0
cat__BsmtQual_NoBasement,0.0
cat__BsmtQual_TA,0.0
cat__BsmtCond_Gd,0.0
cat__Exterior2nd_Plywood,0.0
cat__Exterior2nd_Other,0.0
cat__Exterior2nd_MetalSd,0.0
cat__Exterior2nd_ImStucc,0.0
cat__RoofStyle_Mansard,0.0
cat__RoofStyle_Shed,0.0
cat__RoofMatl_ClyTile,0.0
cat__RoofMatl_CompShg,0.0
cat__RoofMatl_Metal,0.0
cat__RoofMatl_Roll,0.0
cat__RoofMatl_Tar&Grv,0.0
cat__RoofMatl_WdShake,0.0
cat__RoofMatl_WdShngl,0.0
cat__Exterior1st_AsphShn,0.0
cat__Exterior1st_BrkComm,0.0
cat__Exterior1st_CBlock,0.0
cat__Exterior1st_HdBoard,0.0
cat__Exterior1st_ImStucc,0.0
cat__Exterior1st_Plywood,0.0
cat__Exterior1st_Stone,0.0
cat__Exterior1st_Wd Sdng,0.0
cat__Exterior1st_WdShing,0.0
cat__Exterior2nd_AsphShn,0.0
cat__Exterior2nd_BrkFace,0.0
cat__Exterior2nd_CBlock,0.0
cat__Exterior2nd_CmentBd,0.0
cat__Exterior2nd_HdBoard,0.0
cat__SaleCondition_Partial,0.0
